Name,Fighter ID,Record,Height (feet/inches),Weight (pounds),Reach (inches),Stance,Year born,Significant strikes landed per minute,Significant striking accuracy (%),Significant strikes absorbed per minute,Significant strike defense (% of opponent's strikes that did not land),Average takedowns landed per 15 minutes,Takedown accuracy (%),Takedown defense (%),Average submissions attempted per 15 minutes 
Pro Escobedo,b36874652ed7715d,Record: 1-0-0,,205,,,,0.0,0,0.0,0,0.0,0,0,0.0
Carla Esparza,d910665038efc639,Record: 14-4-0,5.1,115,63,,1987,2.4,37,2.86,58,4.27,35,77,0.6
Bobby Escalante,f7ede18b4ec4ec1f,Record: 3-3-0,,130,,,,0.0,0,0.0,0,0.0,0,0,0.0
Cole Escovedo,5df17b3620145578,Record: 17-8-0,5.7,135,72,Orthodox,1981,1.82,45,4.85,45,0.55,40,10,0.0
Nick Ertl,74061adb224be3cc,Record: 8-6-0,5.9,155,,,,2.13,69,2.53,41,3.0,50,0,0.0
Eric Esch,0e4daed84a8f39a6,Record: 14-10-1,5.11,350,,Orthodox,1968,3.07,71,1.74,43,0.0,0,0,2.0
Chel Erwin-Davis,c26ea30823f37316,Record: 2-1-0,6.0,170,,,,4.06,54,1.13,61,4.25,100,50,1.4
Konstantin Erokhin,22061ff217907c78,Record: 9-3-0,5.11,230,73,Orthodox,1983,1.07,36,1.83,47,0.0,0,70,0.0
Josh Epps,984b0c4c6e773a1c,Record: 3-4-0,,130,,,1986,0.0,0,0.0,0,0.0,0,0,0.0
Andy Enz,993d385f5a475375,Record: 8-3-0,6.3,185,78,Orthodox,1991,3.51,23,5.32,57,0.0,0,58,0.0
Won Jin Eoh,bc7cf284c1c2f16e,Record: 5-5-1,5.7,160,,Orthodox,,3.74,44,3.58,46,0.0,0,50,0.0
Ian Entwistle,d7adfcfdf7c6c1f8,Record: 9-3-0,5.5,135,64,Orthodox,1986,0.11,7,7.36,31,0.0,0,0,12.1
Alex Enlund,d238217e0f8ea8e1,Record: 14-2-0 (1 NC),5.1,145,73,Orthodox,1987,0.0,0,0.0,0,0.0,0,0,0.0
Oliver Enkamp,330bafba312face4,Record: 7-1-0,6.0,170,77,Switch,1991,2.27,33,3.8,35,1.0,20,0,0.0
Marius Enache,e3f443e4cbc3da8f,Record: 3-3-0,5.11,155,,,1975,1.71,34,0.66,84,3.94,100,0,3.9
Kevin Engel,d2f310b5b072e986,Record: 4-1-0,6.2,170,,,,0.0,0,0.0,0,0.0,0,0,0.0
Ramazan Emeev,abd5fb12437eda21,Record: 16-3-0,5.1,185,76,Southpaw,1987,2.53,53,1.93,58,1.0,11,0,0.0
Josh Emmett,fba03cd6cc28dc41,Record: 13-2-0,5.6,145,70,Orthodox,1985,3.89,37,3.64,63,1.9,52,50,0.2
Fedor Emelianenko,b8da6f5c80ae2d15,Record: 34-4-0 (1 NC),6.0,230,74,Orthodox,1976,3.18,51,1.0,63,2.0,63,82,1.9
Aleksander Emelianenko,f54200f1dfb9b5d4,Record: 17-4-0,6.6,255,,Orthodox,1981,2.75,41,1.7,65,2.32,72,66,0.9
Anna Elmose,1536a25e16fc299b,Record: 3-2-0,5.3,115,65,Orthodox,1984,3.68,49,4.64,56,0.0,0,33,0.0
Aaron Ely,1741343f0ca34dd5,Record: 5-2-0,5.8,135,,,1989,0.82,15,0.66,69,2.47,100,50,4.9
Eddy Ellis,e60d773a0a42048a,Record: 16-15-1 (1 NC),5.9,170,,Orthodox,,3.4,69,1.53,68,4.0,66,50,2.0
Lisa Ellis,77350fd0e6d1dba8,Record: 15-10-0,5.4,115,62,,1982,1.68,48,2.32,57,4.19,63,50,0.6
Saul Elizondo,e295b96f135d758a,Record: 6-8-0,5.7,135,,,1985,2.07,30,4.93,48,2.0,100,66,1.0
Jake Ellenberger,d81ac739417d7f53,Record: 31-13-0,5.9,170,71,Orthodox,1985,2.43,38,2.73,61,2.1,47,86,0.4
Tim Elliott,c96d9178c9ed9e62,Record: 16-8-1,5.7,135,66,Southpaw,1986,3.41,45,2.3,62,4.26,65,50,1.4
John Elam,22d80fb67e50ab0b,Record: 2-0-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Joe Ellenberger,8e8e4487c621aa1c,Record: 15-2-0,5.9,155,72,Orthodox,1985,1.62,47,3.45,48,3.17,40,0,1.1
Darren Elkins,92a9aa9c93192871,Record: 25-5-0,5.1,145,71,Orthodox,1984,3.14,36,2.4,56,2.76,36,50,1.5
John Paul Elias,e873203fd50542f6,Record: 3-1-0,6.4,205,,,,0.0,0,0.0,0,0.0,0,0,0.0
Justin Eilers,27fc9218a3653e3c,Record: 19-7-1,6.1,235,,Orthodox,1978,1.78,30,6.56,47,0.0,0,0,0.0
Per Eklund,58bc81376286b3d3,Record: 14-5-1,5.1,155,72,Orthodox,,2.07,61,2.38,67,2.07,11,50,3.6
Leon Edwards,f1fac969a1d70b08,Record: 14-3-0,6.0,170,74,Southpaw,1991,2.07,47,2.03,55,1.6,31,66,0.7
Jon Olav Einemo,0577808d22dfe79c,Record: 6-3-0,6.6,253,,Orthodox,1975,2.15,52,3.05,52,1.73,55,43,0.0
Tom Egan,eae4aec1a5a8ff01,Record: 5-3-0,5.11,170,,Orthodox,,0.0,0,3.91,50,0.0,0,28,0.0
Abdul-Kerim Edilov,37e03538c960bac6,Record: 17-4-0,6.2,205,78,Orthodox,1991,10.22,61,0.13,92,3.98,100,0,2.0
Johnny Eduardo,528c24b99fbaab79,Record: 28-11-0,5.7,135,71,Orthodox,1978,2.58,37,3.17,62,0.0,0,62,0.6
Justin Edwards,e56daf7725a0b5ab,Record: 9-5-0,5.1,155,70,Orthodox,1983,2.68,42,3.32,51,2.14,26,27,1.0
Mark Eddiva,40ff198adda94b9f,Record: 6-3-0,5.8,145,68,Orthodox,1986,3.37,45,2.98,54,1.45,22,63,0.0
Vincent Eazelle,ec421d5de0aea624,Record: 9-2-0,5.11,155,,,1980,0.0,0,0.0,0,0.0,0,0,0.0
Yves Edwards,5f04e3d58d9ce982,Record: 42-22-1 (1 NC),5.9,155,73,Southpaw,1976,2.91,42,2.34,66,0.76,53,69,0.7
Mike Easton,bc7230f231701d66,Record: 13-5-0,5.6,135,70,Southpaw,1984,3.51,37,4.28,61,0.75,22,66,0.0
Frankie Edgar,f2688492b9a525a3,Record: 21-6-1,5.6,145,68,Orthodox,1981,3.58,40,2.18,70,2.56,35,65,0.4
Brian Ebersole,32ba186f4b0e3267,Record: 51-17-1 (1 NC),6.0,170,73,Southpaw,1980,2.32,49,2.14,56,1.7,23,61,0.1
Ross Ebanez,a5b0bd216d8ba84e,Record: 20-8-0 (3 NC),5.9,154,,Southpaw,1975,0.74,50,0.74,62,3.7,100,0,0.0
Cody East,5713c1d2fac539ac,Record: 12-3-0,6.3,245,74,Orthodox,1988,4.15,43,7.32,40,3.97,100,16,0.0
Maurice Eazel,4acb99524a9a81ab,Record: 7-15-0,5.7,135,,,,0.0,0,0.0,0,0.0,0,0,0.0
Merab Dvalishvili,c03520b5c88ed6b4,Record: 7-3-0,5.6,135,68,Orthodox,1991,3.13,39,3.87,45,11.0,47,100,0.0
Marvin Eastman,05866d8c3a321856,Record: 17-14-1,5.9,185,73,Orthodox,1971,2.21,35,3.92,42,1.38,33,81,0.0
Luiz Dutra,2153a7f8396a46cc,Record: 11-4-1,5.11,170,71,Orthodox,1982,3.92,50,4.8,41,0.0,0,100,0.0
Ben Earwood,ee457ef1e1c326c1,Record: 12-3-0,5.8,170,,Orthodox,,0.5,55,0.2,33,3.0,100,0,0.0
Tom Duquesnoy,e979c76341f19b22,Record: 15-2-0 (1 NC),5.7,135,68,Orthodox,1993,3.37,46,5.03,57,0.73,100,33,0.0
Matt Dwyer,8f0d576beba1cfcd,Record: 8-4-0,6.4,170,76,Orthodox,1989,2.57,34,3.24,54,0.44,10,60,0.0
Reuben Duran,4417980b3e798abf,Record: 8-5-1,5.7,135,69,Orthodox,1983,3.19,49,2.61,50,0.98,23,25,0.7
Alex Dunworth,31732a614e7a3d1d,Record: 2-2-0 (1 NC),5.8,155,,,,1.94,31,8.71,35,0.0,0,50,0.0
Evan Dunham,e5c9de15bb58b1c6,Record: 18-6-1,5.1,155,70,Southpaw,1981,5.46,39,3.51,62,1.85,32,80,1.0
Jessamyn Duke,a7ddae0be8b78147,Record: 3-3-0 (1 NC),5.11,135,73,,1986,4.83,53,4.43,57,1.27,36,50,1.9
Kelly Dullanty,1a225f04aa6e0739,Record: 4-2-0,5.8,155,,Orthodox,1977,0.0,0,0.67,75,0.0,0,66,0.0
Joe Duffy,654ae722109a0d31,Record: 16-3-0,5.1,155,73,Orthodox,1988,3.07,34,3.45,58,0.66,100,71,1.0
Alexis Dufresne,4ae4049426e0161d,Record: 5-4-0,5.9,135,68,Orthodox,1990,1.33,27,3.33,60,1.5,50,50,0.0
Adin Duenas,cb6c45b26b0a877a,Record: 6-1-0,5.6,145,,,1988,0.0,0,0.0,0,0.0,0,0,0.0
Todd Duffee,bda04c573563cc2e,Record: 9-3-0,6.3,260,79,Orthodox,1985,5.58,35,2.61,60,0.0,0,90,0.0
Joe Duarte,454c3e9d4cd4a1b3,Record: 10-3-0,,155,,,1977,2.27,38,4.0,53,3.0,50,69,1.0
Milana Dudieva,072a10e85f7d4bff,Record: 11-5-0,5.3,135,61,Orthodox,1989,0.87,31,3.43,58,2.34,45,0,0.0
Antonio Duarte,29b5d32584e02d8d,Record: 15-4-0,5.7,135,,,,4.55,40,4.18,57,0.0,0,60,0.0
Hugo Duarte,706404da0775dcbc,Record: 6-3-0,6.0,240,,Orthodox,1968,0.0,0,0.0,0,0.0,0,0,0.0
Robert Drysdale,d2a9be6bf2de624c,Record: 6-0-0 (1 NC),6.3,205,78,Orthodox,1981,0.0,0,0.0,0,7.32,100,0,21.9
Tomasz Drwal,679a9054e2815943,Record: 19-4-1,6.1,205,76,Orthodox,1982,3.29,38,2.26,57,3.55,60,82,0.4
Chris Drumm,5fd834edd92c9e50,Record: 0-1-0 (1 NC),5.8,145,,,,0.0,0,0.0,0,0.0,0,0,0.0
Edson Drago,f9c7fe2682af3802,Record: 9-4-0,6.4,220,,Orthodox,1977,1.16,40,2.39,36,0.0,0,55,0.0
Derek Downey,b05086131c6f5dc5,Record: 11-4-0,6.1,185,,Orthodox,1980,0.32,100,3.36,12,2.4,16,0,0.0
John Doyle,0509b954421bb327,Record: 11-20-0 (1 NC),5.11,205,,Orthodox,1976,3.5,44,10.51,27,0.0,0,0,0.0
Jordan Dowdy,0d9312337fdce39a,Record: 2-3-0,,170,,,,2.11,44,2.63,50,0.0,0,0,0.0
Danny Downes,a66395395b5f1394,Record: 8-3-0,6.0,155,72,Orthodox,1986,1.66,34,3.53,37,0.0,0,37,0.5
John Dowdy,e780ccc79a209985,Record: 0-2-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Damion Douglas,ce3b669e39418414,Record: 4-1-0,,170,,,,0.0,0,0.0,0,0.0,0,0,0.0
David Douglas,7cf0944b88966118,Record: 8-3-0,5.11,155,,,1981,0.0,0,0.0,0,0.0,0,0,0.0
Antonio Dos Santos,81b8b3fb019dc69d,Record: 6-3-0,5.1,185,72,Orthodox,1988,5.4,51,3.94,43,0.0,0,100,0.0
Geronimo dos Santos,b51f6791c794e289,Record: 31-14-0,6.3,264,,Orthodox,1980,1.09,33,8.73,41,0.0,0,33,0.0
Tiago Trator,8ce87f7e3a9baed2,Record: 20-6-2 (1 NC),5.9,145,70,Orthodox,1987,3.69,35,4.23,59,0.63,11,33,0.3
Houston Dorr,312f47c3d2f83ffa,Record: 1-2-0,6.1,210,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Junior Dos Santos,63def5a5662a6917,Record: 18-5-0,6.4,238,77,Orthodox,1984,4.89,49,3.32,55,0.41,62,80,0.1
Rafael Dos Anjos,6a2f7c151031653d,Record: 28-9-0,5.8,170,70,Southpaw,1984,3.67,44,3.11,64,2.14,40,66,0.7
John Donaldson,1c610f900f9884ab,Record: 2-2-0,5.8,145,,,1992,1.21,23,4.22,51,0.0,0,0,0.0
Cody Donovan,7bc96507e4b38d3b,Record: 8-5-0,6.3,205,74,Orthodox,1981,5.61,59,5.44,45,1.67,28,0,1.7
OJ Dominguez,1a50e734bb54861a,Record: 0-1-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Dennis Dombrow,4145caa2c999fbac,Record: 2-2-0 (1 NC),,145,,,1986,0.0,0,0.0,0,0.0,0,0,0.0
Cameron Dollar,3bbcd63a016d9715,Record: 9-4-0,5.11,155,,Orthodox,1987,5.04,38,2.94,61,0.0,0,0,0.0
Mike Dolce,29b5791e51e7e832,Record: 5-10-0,5.11,185,,,1976,0.0,0,0.0,0,0.0,0,0,0.0
CB Dollaway,5d7bdab5e03e3216,Record: 18-9-0,6.2,185,76,Orthodox,1983,2.79,48,2.43,56,3.58,54,78,1.0
Joe Doerksen,dbaaf42313af90fa,Record: 47-16-0,6.0,185,75,Orthodox,1977,1.43,42,2.79,50,2.02,33,33,2.3
David Dodd,c2a7623f398d9bd7,Record: 4-7-0,6.2,200,,Orthodox,1973,0.0,0,0.0,0,0.0,0,0,0.0
John Dodson,99506df1af6c8b3b,Record: 21-9-0,5.3,135,66,Orthodox,1984,3.43,41,3.35,64,0.77,31,81,0.0
Shana Dobson,122ac9b816d8b71c,Record: 3-1-0,5.6,125,69,,1989,4.31,35,4.44,65,0.0,0,0,0.0
Drew Dober,519e4fe37ce9ff75,Record: 19-8-0 (1 NC),5.8,170,70,Southpaw,1988,4.53,38,4.53,54,0.9,13,59,0.2
Anthony Do,7c9aeba0c4d4bd78,Record: 4-2-0,5.4,125,,,,0.0,0,0.0,0,0.0,0,0,0.0
Russell Doane,f50d95223751e6ca,Record: 15-8-0,5.7,135,70,Orthodox,1986,1.75,40,1.68,53,2.11,45,52,0.8
Helio Dipp,73eb2a552c92a821,Record: 6-3-0,6.5,185,,Orthodox,,0.6,25,1.8,62,0.0,0,50,0.0
John Dixson,ad4e9055bf8cd04d,Record: 15-22-0,6.0,275,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Drew Dimanlig,cc2ad11b1f9d818b,Record: 3-3-0,,185,,,,0.0,0,0.0,0,0.0,0,0,0.0
Ralph Dillon,b4f7a2d8ecc5e0c3,Record: 0-1-1,6.2,205,,Orthodox,,0.34,14,0.69,60,0.0,0,0,0.0
Rodolfo Marques Diniz,2d2239d0f6fa83dd,Record: 14-1-1,5.6,135,,,1984,1.08,32,2.36,33,0.0,0,50,1.8
TJ Dillashaw,c849740a3ff51931,Record: 16-3-0,5.6,135,67,Orthodox,1986,5.26,40,2.91,66,1.73,37,85,1.0
Kyle Dietz,31da66df48c0c1a0,Record: 5-2-0,5.8,135,,Orthodox,1986,1.82,45,2.08,62,0.0,0,0,0.0
Seth Dikun,eb42d4febfafefd1,Record: 7-4-0,5.1,135,69,Orthodox,1980,1.45,26,2.18,55,0.0,0,45,0.9
Josh Diekmann,414bddf0c80c41e1,Record: 15-8-0 (1 NC),5.4,246,,,1976,0.94,8,4.69,54,0.0,0,0,0.0
Adrian Diaz,bfa8f263815cfa2e,Record: 11-4-1,5.1,145,,Southpaw,1988,0.48,42,3.84,51,2.4,50,0,0.0
Mark Dickman,2482ef3331a82e75,Record: 11-3-0,5.9,145,,,1984,0.0,0,0.0,0,0.0,0,0,0.0
Ryan Diaz,ceee5dd37253199a,Record: 13-13-0,,145,,,,0.0,0,0.0,0,0.0,0,0,0.0
Michael Diaz,5e7a48e469770615,Record: 1-3-0,,260,,,,0.0,0,0.0,0,0.0,0,0,0.0
Nate Diaz,8355922d564b152c,Record: 20-11-0,6.0,170,76,Southpaw,1985,4.64,44,3.69,54,1.17,30,45,1.4
Nick Diaz,f57a8a52ca401ed9,Record: 26-9-0 (2 NC),6.1,185,76,Southpaw,1983,5.43,42,3.56,61,1.32,33,60,1.0
Hacran Dias,ed209f6618c82e41,Record: 23-6-1,5.8,155,69,Orthodox,1984,2.08,41,3.31,55,2.5,39,76,0.5
Rafael Dias,b5abaa65f87938eb,Record: 15-8-2,5.9,145,,Orthodox,1979,1.13,27,2.19,60,3.17,47,100,1.2
Marc Diakiese,32c355b04fc57f3a,Record: 12-2-0,5.1,155,73,Orthodox,1993,2.38,39,1.93,56,2.65,36,57,0.0
Cyrille Diabate,43563a32c3f10e95,Record: 20-10-3,6.6,205,81,Southpaw,1973,4.06,71,1.78,60,1.17,83,53,0.2
Eldo Xavier Dias,ee5df903f80c6816,Record: 0-1-0,5.11,180,,,1964,0.0,0,0.0,0,0.0,0,0,0.0
Alessio Di Chirico,77d7295d1b22c694,Record: 11-2-0,6.0,185,74,Orthodox,1989,3.37,41,2.86,61,1.9,50,76,0.0
John Devine,2bcc39af95d6f2e8,Record: 6-4-0,,,,,,1.52,18,2.28,57,0.0,0,0,0.0
Edwin DeWees,75bbd2206a15319f,Record: 37-15-0 (1 NC),6.1,185,,Orthodox,1982,1.53,33,6.19,39,2.18,66,0,3.3
Booker DeRousse,f2c91b67f71bbeab,Record: 3-5-0,6.2,205,,,1981,0.0,0,0.0,0,0.0,0,0,0.0
Cory Devela,48544433372ecfa6,Record: 11-5-0,5.0,185,,Orthodox,,4.07,41,4.0,47,1.07,12,62,0.0
Mackenzie Dern,7447e9f28508106a,Record: 6-0-0,5.4,115,63,Orthodox,1993,4.67,48,3.47,63,1.0,16,0,1.0
Chris Dempsey,dfae5da5676e4194,Record: 11-4-0,5.1,185,72,Orthodox,1987,2.25,32,2.82,65,2.64,23,16,0.0
Jason Dent,fa8b9e6b0c2269f8,Record: 21-12-0,5.1,155,71,Orthodox,1980,2.01,39,3.7,62,0.0,0,26,1.4
Jon Delos Reyes,0d0351c20169a499,Record: 8-5-0,5.6,125,67,Orthodox,1987,2.99,38,4.14,51,3.2,83,55,1.9
Thomas Denny,a11a6ee8eeb03c18,Record: 27-19-1,5.1,170,,Orthodox,1971,2.26,33,5.94,43,0.97,50,44,0.0
Israel Delgado,01f4bcd26ac08ad5,Record: 0-2-0,5.1,155,,,,0.0,0,0.0,0,0.0,0,0,0.0
Humberto DeLeon,bfaf4c87936b4fae,Record: 6-5-0,,135,,,1989,0.0,0,0.0,0,0.0,0,0,0.0
Nick Denis,e4aaaa34535e32b6,Record: 11-3-0,5.7,135,,Orthodox,1983,6.54,53,5.42,36,2.8,100,80,0.0
Issac DeJesus,0e2c2daf11b5d8f2,Record: 9-3-1 (1 NC),,145,,,,0.0,0,0.0,0,0.0,0,0,0.0
Roland Delorme,173acb3f920082b8,Record: 9-4-0 (1 NC),5.9,135,71,Orthodox,1983,2.28,44,4.32,40,2.51,34,42,1.6
Tom DeBlass,0bcfe2513cb3bc39,Record: 7-2-0,6.0,185,75,Orthodox,1982,1.5,35,4.43,37,1.0,50,28,0.5
Rolando Delgado,37b1696e6d115957,Record: 11-5-1,6.3,155,77,Orthodox,1981,1.56,40,1.83,62,1.17,22,0,3.5
Shane del Rosario,85980f5da429c0a6,Record: 11-2-0,6.4,250,79,Southpaw,1983,3.93,60,2.97,54,1.2,40,16,2.4
Germaine de Randamie,1d239d571e342453,Record: 7-3-0,5.9,135,71,Orthodox,1984,3.2,47,2.28,66,0.0,0,86,0.2
Jorge de Oliveira,ddf3e0ea10ea6d8c,Record: 7-2-0,5.8,155,71,Orthodox,1980,1.26,31,4.84,48,0.0,0,22,0.0
Crezio de Souza,3746e21bb508391a,Record: 1-2-0,,170,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Edilberto de Oliveira,afdb76fbd86f6d11,Record: 20-8-2,6.0,170,,Orthodox,1982,4.12,32,6.79,61,0.0,0,0,0.0
Talita Bernardo,5b2325cd70dbe2ea,Record: 5-3-0,5.4,135,68,Orthodox,1987,2.27,38,4.25,57,2.01,22,50,0.5
Mark De La Rosa,f57dd0bfa8c17813,Record: 9-1-0,5.6,135,65,Orthodox,1994,0.3,50,1.8,50,0.0,0,0,0.0
Johil de Oliveira,f9aa6376ae16bfb4,Record: 16-13-1 (1 NC),5.6,170,,Orthodox,,0.51,34,0.73,58,1.1,50,44,0.6
Montana De La Rosa,80d8aed0ca9b00f3,Record: 8-4-0,5.7,125,68,,1995,3.0,35,5.0,41,0.0,0,0,7.5
Rodrigo de Lima,a4dc47001f202bcd,Record: 8-3-1,5.7,155,75,Orthodox,1991,1.29,33,5.5,32,2.66,36,0,1.3
Philip De Fries,6ef65b6a152e49d5,Record: 9-3-0 (1 NC),6.5,250,82,Orthodox,1986,2.3,47,3.0,37,3.29,42,100,0.6
Mike de la Torre,1971869b7e054261,Record: 14-7-0 (1 NC),5.11,145,71,Orthodox,1986,3.21,39,4.75,51,0.36,16,83,0.0
Martin Day,ea3dcc417c322064,Record: 5-1-0,5.1,125,71,Orthodox,1988,4.53,43,2.73,59,1.0,50,66,0.0
Grant Dawson,99bd51917728c25d,Record: 11-1-0,5.1,145,,Switch,1994,3.84,48,0.48,57,2.4,100,50,4.8
Chris de la Rocha,e51ee8ded927fc51,Record: 3-2-0,6.3,250,80,Orthodox,1979,4.07,36,7.44,46,0.0,0,0,0.0
Jason Day,a6fd2173d5e2d7f0,Record: 19-12-0,6.0,185,72,Orthodox,1981,3.61,54,3.46,47,1.13,100,0,0.0
Hakeem Dawodu,2c9d00968f818270,Record: 7-0-1,5.8,145,73,Orthodox,1991,0.0,0,0.0,0,0.0,0,0,0.0
Brandon Davis,cc351e408bbb7d43,Record: 9-3-0,5.1,145,72,Orthodox,1990,6.36,33,4.69,69,0.33,50,84,0.0
Danny Davis,570d40f993171b19,Record: 6-5-1,6.2,170,,,1982,0.0,0,0.0,0,0.0,0,0,0.0
Alexis Davis,4c2d90e335e6df19,Record: 19-7-0,5.6,125,68,Orthodox,1984,4.12,46,4.17,53,0.78,37,34,1.2
Justin Davis,20697b334f6c0a45,Record: 14-10-0,5.11,205,,,1983,0.0,0,0.0,0,0.0,0,0,0.0
LC Davis,6dab8ce5e4bffe77,Record: 17-4-0,5.8,135,69,Southpaw,1980,2.04,30,2.1,59,2.27,46,66,0.2
Phil Davis,902ab9197b83d0db,Record: 13-3-0 (1 NC),6.2,205,79,Orthodox,1984,2.85,34,1.33,72,2.99,38,72,0.6
Marcus Davis,b7d524c77c27389b,Record: 20-9-0 (1 NC),5.1,170,70,Southpaw,1973,2.72,39,2.79,65,1.6,48,47,1.4
Rick Davis,2549d63da9c456cb,Record: 3-1-1,5.9,155,,Orthodox,,3.09,50,6.19,64,0.0,0,0,0.0
Brian Davidson,42775dc893603154,Record: 8-3-0,5.6,145,,,,0.0,0,0.0,0,0.0,0,0,0.0
Sean Daugherty,a683f9ddb70aa4bd,Record: 0-2-0,6.0,175,,,1975,0.0,0,0.0,0,0.0,0,0,0.0
Beneil Dariush,08af939f41b5a57b,Record: 14-4-1,5.1,155,72,Southpaw,1989,4.04,47,2.91,61,1.15,25,78,0.6
Karen Darabedyan,d2fa318f34d0aadc,Record: 9-4-0,5.7,155,68,Orthodox,1986,3.43,51,2.62,67,2.14,75,0,0.0
Eduardo Dantas,676a2e5ec4d7338c,Record: 20-4-0,5.1,135,,,1989,3.33,60,3.0,60,4.0,23,100,0.0
Mac Danzig,86f582852a5b240a,Record: 22-12-1,5.8,155,70,Orthodox,1980,3.39,48,3.44,57,1.2,37,46,0.6
Marques Daniels,55a80a9365bc107d,Record: 5-5-0,,155,,,,0.0,0,0.0,0,0.0,0,0,0.0
Alexandre Dantas,8dc46e9a7895ce1a,Record: 0-2-0,6.2,238,,Orthodox,1979,0.21,25,1.87,60,0.0,0,0,3.1
Raymond Daniels,fccb0fee256b7b4d,Record: 0-1-0,6.2,185,,Southpaw,,0.0,0,2.61,38,0.0,0,33,3.0
Cindy Dandois,9eef6584fab21fbb,Record: 8-3-0,5.7,135,68,Orthodox,1984,3.13,32,3.4,58,5.0,55,0,0.0
Jarjis Danho,8614b7134913f5d5,Record: 6-1-1 (1 NC),6.3,265,74,Orthodox,1983,3.39,48,5.77,47,0.57,20,100,0.0
Marko Damiani,6e9b5c74c0860deb,Record: 0-2-0,6.0,170,,,,0.0,0,0.0,0,0.0,0,0,0.0
Carina Damm,033343da4c0cff8a,Record: 17-6-0,5.4,135,,,,0.0,0,0.0,0,0.0,0,0,0.0
Richard Dalton,6cd3dfc54f01287f,Record: 4-3-1,6.1,205,,Orthodox,,1.2,69,3.27,25,1.0,11,0,0.0
Rodrigo Damm,a20d7dfaba74c067,Record: 12-9-0,5.7,155,71,Orthodox,1980,3.5,36,5.61,57,0.44,16,80,0.3
Aisling Daly,e50cd77732d39967,Record: 16-6-0,5.2,115,64,,1987,2.92,52,1.4,55,2.15,41,33,0.9
Dave Dalgliesh,ddbd0d6259ce57cc,Record: 30-19-2,6.2,205,,Orthodox,1978,0.0,0,1.85,50,0.0,0,0,0.0
Nicolas Dalby,9d19d9e4aa2662e8,Record: 14-2-1,5.11,170,74,Orthodox,1984,3.27,38,3.33,55,2.0,50,69,0.0
Claudio Silva,6f7c616b98e18c29,Record: 11-1-0,5.11,170,71,Southpaw,1982,2.33,45,2.47,45,3.0,25,0,0.5
Paul Daley,23725c826c481e7f,Record: 31-11-2,5.9,170,76,Orthodox,1983,3.14,47,2.37,60,0.91,40,64,0.0
Marcos da Matta,3b6d84343579fd33,Record: 8-2-0,5.4,145,,,1973,0.0,0,0.0,0,0.0,0,0,0.0
Sheymon Moraes,0d62719b1dcf7c40,Record: 9-2-0,5.8,145,72,Orthodox,1990,1.24,58,2.34,51,0.0,0,26,0.0
Pat Curran,d8291d0dd63da29c,Record: 22-7-0,5.9,145,,,1987,4.7,58,4.4,63,2.5,62,66,0.0
Henrique da Silva,b0bd0c5425668b8f,Record: 12-4-0,6.3,205,76,Orthodox,1989,4.0,56,5.24,42,0.33,25,25,0.3
Jussier Formiga,b102c26727306ab6,Record: 21-5-0,5.5,125,67,Orthodox,1985,1.35,37,2.19,65,1.84,37,85,0.7
Jeff Curran,a8ea84cbe1655f0a,Record: 35-15-1,5.6,135,69,Orthodox,1977,1.54,31,2.48,60,0.35,12,35,1.2
Ion Cutelaba,cd13728ae1151f46,Record: 13-3-0 (1 NC),6.1,205,75,Southpaw,1993,4.15,31,3.21,50,2.16,66,80,0.0
Sarah D'alelio,ac45450f75d14f16,Record: 4-2-0,5.7,145,,,1980,2.4,33,0.0,100,0.0,0,100,0.0
Patrick Cummins,e51e5cb722bd47a8,Record: 10-4-0,6.2,205,76,Orthodox,1980,4.63,52,3.19,57,5.34,43,71,0.2
Larry Cureton,46f11d15c0134fe3,Record: 0-2-0,6.2,240,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Kailin Curran,05b43e0ead3df345,Record: 4-6-0,5.4,115,65,Orthodox,1991,3.89,43,4.75,53,2.0,57,61,0.6
Zak Cummings,4ba8d454f762005d,Record: 21-5-0,6.0,170,75,Southpaw,1984,2.61,31,3.01,51,1.3,38,66,1.1
Luke Cummo,93ce4ac89e3d7652,Record: 6-6-0,6.0,170,74,Orthodox,1980,1.74,43,1.5,59,0.89,55,42,1.4
Abel Cullum,2f8f3c69522db931,Record: 18-6-0,5.7,139,,Orthodox,1987,1.82,40,1.23,46,4.01,52,0,2.8
Everett Cummings,05e4be525cb3578c,Record: 12-0-0,,205,,,,0.43,60,4.34,45,0.0,0,0,2.2
Dominick Cruz,10f3ba6cd2f44a97,Record: 22-2-0,5.8,135,68,Orthodox,1985,3.53,31,2.15,74,3.17,50,83,0.1
Richard Crunkilton,22ee260735da0d58,Record: 19-3-0,5.7,155,,Orthodox,1979,1.97,41,1.66,58,4.68,61,65,1.5
Chris Culley,e59b13321562eed3,Record: 11-8-0,,145,,,1986,0.0,0,0.0,0,0.0,0,0,0.0
