Name,Fighter ID,Record,Height (feet/inches),Weight (pounds),Reach (inches),Stance,Year born,Significant strikes landed per minute,Significant striking accuracy (%),Significant strikes absorbed per minute,Significant strike defense (% of opponent's strikes that did not land),Average takedowns landed per 15 minutes,Takedown accuracy (%),Takedown defense (%),Average submissions attempted per 15 minutes
Forrest Petz,e86bc32f5997a8f7,Record: 24-9-0,5.9,170,71,Orthodox,1975,2.27,29,2.2,57,1.3,100,66,0.0
Elizabeth Phillips,dcbf01d605681ad1,Record: 5-4-0,5.6,135,65,Orthodox,1986,2.6,33,3.07,58,0.75,25,53,0.2
Dave Phillips,99020eeb8cd5689d,Record: 7-5-0,6.0,185,,Orthodox,1980,0.0,0,2.0,25,0.0,0,0,10.0
Anthony Pettis,cbb682f5fcc44bfc,Record: 20-7-0,5.1,155,72,Orthodox,1987,2.81,45,2.82,56,0.82,54,58,1.2
Wayne Phillips,09a82bd51ff61376,Record: 5-4-0,,185,,,1983,0.0,0,0.0,0,0.0,0,0,0.0
Peter Petties,7ea5d60d2e6a8ad0,Record: 5-3-0 (1 NC),5.11,145,72,Southpaw,1990,2.61,29,8.24,48,0.0,0,0,0.0
Dino Pezao,81b57acd6975ac06,Record: 1-2-0,,205,,Orthodox,,0.66,30,3.28,31,0.0,0,0,0.0
Seth Petruzelli,93b9496275bbbf80,Record: 14-6-0,6.0,205,76,Orthodox,1979,2.17,41,2.08,55,0.46,50,47,2.3
Cory Peterson,5df10509264586e5,Record: 2-1-0,6.11,400,,Orthodox,,2.17,60,6.51,40,0.0,0,0,0.0
Sergio Pettis,de75d1c45a39e221,Record: 16-3-0,5.6,125,69,Orthodox,1993,3.62,36,2.56,66,1.09,39,64,0.5
Tony Petarra,c61f66d8c3fd5f07,Record: 2-4-1,5.11,196,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Steven Peterson,b93c06d09d1c4ac0,Record: 16-6-0,5.1,145,70,Orthodox,1990,5.17,31,6.37,56,1.5,13,100,0.0
Leiticia Pestova,f3743d8ef5dde970,Record: 0-2-0,5.6,135,,Orthodox,1984,0.0,0,24.62,44,0.0,0,0,0.0
Mike Perry,f2b6fdb20675b11c,Record: 11-3-0,5.1,170,71,Orthodox,1991,4.12,43,4.77,59,0.42,40,64,0.0
Tommy Petersen,7aabd61419f747d1,Record: 2-3-0,,155,,,,0.0,0,0.0,0,0.0,0,0,0.0
Viktor Pesta,202b0467521c9d6f,Record: 10-4-0,6.3,240,77,Orthodox,1990,1.58,36,2.54,56,3.29,28,100,0.0
Thiago Perpetuo,c1a5d3843596df92,Record: 9-4-1,5.1,170,71,Orthodox,1987,5.39,69,3.51,51,2.82,50,66,0.0
Hernani Perpetuo,575360be653ad6a6,Record: 17-5-0 (1 NC),6.0,170,74,Orthodox,1985,2.73,29,4.37,55,0.0,0,37,0.5
Anthony Perosh,4b4753d19489297f,Record: 15-10-0,6.3,205,75,Orthodox,1972,2.27,43,3.77,53,2.03,22,33,1.1
Alex Perez,ab2b4ff41d6ebe0f,Record: 20-4-0,5.6,125,65,Orthodox,1992,2.66,40,2.38,61,4.23,53,100,2.4
Markus Perez,2ac4628c08ec5125,Record: 9-1-0,6.1,185,73,Orthodox,1988,2.0,50,5.27,43,2.0,40,50,1.0
Jose Perez,89578ae236ee04e9,Record: 1-0-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Frankie Perez,96c336b463e0662c,Record: 10-4-0,5.11,155,73,Orthodox,1989,1.64,41,2.17,54,1.75,41,50,0.3
Erik Perez,af62f99eb7606308,Record: 17-6-0,5.8,135,68,Orthodox,1989,3.16,40,2.09,66,3.16,55,69,0.2
Philip Perez,eee8efec7b951d84,Record: 7-5-1 (2 NC),5.5,155,,Southpaw,,1.36,100,0.68,66,10.23,100,0,10.2
Alejandro Perez,80daefbed11ce998,Record: 20-6-1,5.6,135,67,Orthodox,1989,3.59,38,2.86,64,0.61,20,66,0.2
Rolando Perez,4a9e305633f3ef47,Record: 6-5-2,5.8,135,,Orthodox,,4.23,36,4.83,63,0.0,0,100,0.0
Viviane Pereira,d50382dc0565a9e1,Record: 13-1-0,5.1,115,63,Orthodox,1993,2.62,35,4.4,52,0.33,100,28,0.3
Robert Peralta,960d6cae8879ba2b,Record: 18-6-0 (1 NC),5.8,145,71,Orthodox,1986,3.76,44,2.97,53,0.59,66,65,0.0
Ray Perales,9a70f67ad2187fa3,Record: 13-22-0,5.1,170,,Orthodox,,0.18,25,2.39,32,0.0,0,33,0.0
Godofredo Pepey,fa37628269132d1a,Record: 14-6-0,5.7,145,73,Orthodox,1987,2.32,38,3.23,47,0.37,7,35,1.5
Raquel Pennington,fc169c387b4b465d,Record: 9-6-0,5.7,135,67,Orthodox,1988,3.8,51,2.92,66,1.43,43,69,1.3
Jerron Peoples,a2ac473d74eb157c,Record: 4-3-0,6.0,170,,,1982,0.0,0,0.0,0,0.0,0,0,0.0
Justin Pennington,0699c4b2a7c3c76f,Record: 2-2-0,5.4,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Nick Penner,879b8df81523d91b,Record: 12-3-0,6.4,205,77,Southpaw,1980,1.25,30,4.6,38,0.0,0,40,0.0
Jessica Penne,c742287ed86a09bc,Record: 12-6-0,5.5,115,67,,1983,2.46,33,4.73,48,1.58,25,20,0.6
Drew Pendleton,34b634cb2471bdde,Record: 4-0-0,,145,,,1983,0.0,0,0.0,0,0.0,0,0,0.0
Sherman Pendergarst,e670f8cc2969a789,Record: 11-18-0 (1 NC),6.1,235,,Orthodox,1967,1.23,36,3.08,16,4.62,100,0,0.0
Cathal Pendred,99c7610aa74995d3,Record: 17-5-1,6.1,170,75,Orthodox,1987,2.49,44,3.01,55,2.46,23,83,0.4
BJ Penn,73c7cfa551289285,Record: 16-12-2,5.9,145,70,Orthodox,1978,2.71,49,3.12,56,1.24,55,75,0.5
Julianna Pena,3253b16d38ae087d,Record: 9-3-0,5.6,135,69,,1989,2.95,52,1.2,44,2.79,52,22,1.2
Filip Pejic,38ed5a2299230227,Record: 10-2-1,5.8,135,70,Orthodox,1992,0.0,0,0.88,33,0.0,0,0,0.0
Yan Pellerin,bfe95ec546692b13,Record: 9-13-0,5.11,205,,Orthodox,,0.59,25,0.89,66,4.43,100,0,0.0
Kurt Pellegrino,aa1952ec0b3dd8e1,Record: 16-6-0,5.8,155,70,Orthodox,1979,2.45,43,1.94,63,2.9,54,69,0.8
Willie Peeters,e7bfdb5e0112891e,Record: 9-10-1,5.9,220,,Orthodox,1965,0.0,0,0.0,0,0.0,0,0,0.0
Tyson Pedro,49e96ff8ab781589,Record: 7-1-0,6.3,205,79,Orthodox,1991,2.58,58,2.46,49,1.1,66,53,1.1
Matt Pedro,f354c50b8d63d9b3,Record: 3-1-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Andre Pederneiras,bba678d312590087,Record: 1-1-2,5.8,155,,Orthodox,1967,0.0,0,0.0,0,0.0,0,0,0.0
Ross Pearson,4f732e58ed907eff,Record: 22-14-0 (1 NC),5.8,155,69,Orthodox,1984,3.59,40,3.8,63,0.79,38,75,0.0
Joe Pearson,122806b56775a53a,Record: 38-17-1,5.1,145,,Orthodox,1978,0.59,18,3.51,33,0.0,0,0,4.4
Sarah Payant,748d4e35f846a029,Record: 1-4-0,5.4,115,,,,0.29,16,2.06,30,0.0,0,0,0.0
Roland Payne,2e04a3b4a2011b97,Record: 0-1-0,5.9,205,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Pawel Pawlak,9310418684bc896f,Record: 11-2-0,6.0,170,73,Orthodox,1989,1.67,33,2.22,53,1.0,37,70,0.0
Estevan Payan,d0a5ef38a7778ac2,Record: 14-6-0 (1 NC),5.1,145,72,Orthodox,1982,4.25,42,3.58,57,0.36,100,60,0.4
Justin Patterson,2dc7c49cfaeb867c,Record: 9-3-0,5.1,170,,,1985,0.0,0,0.0,0,0.0,0,0,0.0
Julio Paulino,60c72f7459827881,Record: 17-4-0,6.0,170,,Orthodox,1975,0.97,27,1.87,48,0.0,0,37,0.5
Michael Patt,83d0de122f2f9664,Record: 12-4-0,6.0,205,,Orthodox,,1.65,28,5.53,55,0.0,0,0,0.0
Claude Patrick,56116a79e4deed06,Record: 14-2-0,5.11,170,75,Orthodox,1980,1.8,55,0.89,69,2.32,53,84,1.7
Alan Patrick,cd7763bcadb5d4c8,Record: 15-1-0,5.11,155,74,Southpaw,1983,1.89,43,1.82,50,4.69,44,75,0.4
Russell Patrick,eafedba0617ced81,Record: 6-4-0,5.9,145,,,,0.0,0,0.0,0,0.0,0,0,0.0
Jorge Patino,c8cca8f3de5be4b4,Record: 25-13-1 (1 NC),5.8,170,,Orthodox,1973,1.33,30,3.14,53,0.54,25,50,0.0
Jordan Parsons,8b2a18d3c6735083,Record: 11-2-0,5.9,145,,,1990,3.29,40,2.37,60,1.54,21,50,1.0
Onassis Parungao,96d173b7f92aa520,Record: 2-1-0,5.11,200,,,,0.0,0,0.0,0,0.0,0,0,0.0
Tyra Parker,64be3dc99eaa42b6,Record: 1-2-0,5.5,115,,Orthodox,,1.5,22,9.0,14,0.0,0,0,0.0
Willie Parks,86ad0ae839331bd7,Record: 4-1-0,5.1,185,,,1983,0.0,0,0.0,0,0.0,0,0,0.0
Ryan Parker,6a0b80a24f22e152,Record: 0-1-0,6.3,235,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0
Larry Parker,c0231720fe516994,Record: 13-6-1,5.11,205,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Norman Parke,14ff46596ad80609,Record: 22-5-1,5.11,155,70,,1986,3.06,35,2.88,64,1.98,26,77,0.0
Won Sik Park,9df394db5ca103eb,Record: 9-3-1 (1 NC),5.11,154,,Orthodox,,2.6,43,2.2,47,0.0,0,0,0.0
Ido Pariente,7573d25a078b5732,Record: 12-5-0,5.8,155,,Orthodox,,0.0,0,2.86,45,0.0,0,0,0.0
